# Board for the 2021 draft class — generated by scripts/make_class_boards.py
# Population: actual draftees (draft order) + eligible undrafted (left college).
# Returners (came back to school) are excluded from this class by rule.
Cade Cunningham | Oklahoma State
Jalen Green
Evan Mobley | USC
Scottie Barnes | Florida State
Jalen Suggs | Gonzaga
Josh Giddey
Jonathan Kuminga
Franz Wagner | Michigan
Davion Mitchell | Baylor
Ziaire Williams | Stanford
James Bouknight | UConn
Joshua Primo | Alabama
Chris Duarte | Oregon
Moses Moody | Arkansas
Corey Kispert | Gonzaga
Alperen Şengün
Trey Murphy III | Virginia
Tre Mann | Florida
Kai Jones | Texas
Jalen Johnson | Duke
Keon Johnson | Tennessee
Isaiah Jackson | Kentucky
Usman Garuba
Josh Christopher | Arizona State
Quentin Grimes | Houston
Bones Hyland | VCU
Cam Thomas | LSU
Jaden Springer | Tennessee
Day'Ron Sharpe | UNC
Santi Aldama | Loyola (MD)
Isaiah Todd
Jeremiah Robinson-Earl | Villanova
Jason Preston | Ohio University
Rokas Jokubaitis
Herbert Jones | Alabama
Miles McBride | West Virginia
JT Thor | Auburn
Ayo Dosunmu | Illinois
Neemias Queta | Utah State University
Jared Butler | Baylor
Joe Wieskamp | Iowa
Isaiah Livers | Michigan
Greg Brown III | Texas
Kessler Edwards | Pepperdine
Juhann Begarin
Dalano Banton | Nebraska
David Johnson | Louisville
Sharife Cooper | Auburn
Marcus Zegarowski | Creighton
Filip Petrušev | Gonzaga
Brandon Boston Jr. | Kentucky
Luka Garza | Iowa
Charles Bassey | Western Kentucky
Sandro Mamukelashvili | Seton Hall
Aaron Wiggins | Maryland
Scottie Lewis | Florida
Balša Koprivica | Florida State
Jericho Sims | Texas
RaiQuan Gray | Florida State
Georgios Kalaitzakis
# — eligible undrafted (final college season, never drafted) —
Jay Huff | Virginia
Justin Champagnie | Pittsburgh
Micah Potter | Wisconsin
McKinley Wright IV | Colorado
Jaquori McLaughlin | UC Santa Barbara
Joel Ayayi | Gonzaga
Cameron Krutwig | Loyola (IL)
Jordan Schakel | San Diego State
Matthew Hurt | Duke
Dejon Jarreau | Houston
Matt Haarms | Brigham Young
MaCio Teague | Baylor
Nah'Shon Hyland | Virginia Commonwealth
Jordan Bruner | Alabama
Terry Taylor | Austin Peay
Juwan Durham | Notre Dame
Moses Wright | Georgia Tech
John Petty | Alabama
Herb Jones | Alabama
Alan Griffin | Syracuse
Matt Lewis | James Madison
Trendon Watford | Louisiana State
Kim Aiken Jr. | Eastern Washington
Brandon Rachal | Tulsa
Oscar Da Silva | Stanford
D.J. Stewart | Mississippi State
LJ Figueroa | Oregon
Austin Reaves | Oklahoma
Asbjorn Midtgaard | Grand Canyon
Loudon Love | Wright State
Marek Dolezaj | Syracuse
Kolton Kohl | Abilene Christian
