# Curated big board — 2022 draft class (top 100, user-provided)
Jabari Smith | Auburn
Jaden Ivey | Purdue
Paolo Banchero | Duke
Chet Holmgren | Gonzaga
Bennedict Mathurin | Arizona
Keegan Murray | Iowa
AJ Griffin | Duke
Johnny Davis | Wisconsin
Malaki Branham | Ohio St.
Shaedon Sharpe | Kentucky
Dyson Daniels | Centre of Excellence
Jeremy Sochan | Baylor
Mark Williams | Duke
Ousmane Dieng | CFBB
Max Christie | Michigan St.
Jalen Duren | Memphis
Ochai Agbaji | Kansas
Blake Wesley | Notre Dame
Tari Eason | LSU
Wendell Moore | Duke
Jalen Williams | Santa Clara
TyTy Washington | Kentucky
Nikola Jovic | Mega Bemax
Jaden Hardy | G-League
Kennedy Chandler | Tennessee
Jaylin Williams | Arkansas
Walker Kessler | Auburn
John Butler | Florida St.
Ismael Kamagate | Paris
Christian Braun | Kansas
Dalen Terry | Arizona
EJ Liddell | Ohio St.
MarJon Beauchamp | G-League
Andrew Nembhard | Gonzaga
Ron Harper | Rutgers
Ryan Rollins | Toledo
Bryce McGowens | Nebraska
Caleb Houstan | Michigan
Christian Koloko | Arizona
Justin Lewis | Marquette
Patrick Baldwin | Milwaukee
Jake LaRavia | Wake Forest
Jamaree Bouyea | San Francisco
Peyton Watson | UCLA
Kendall Brown | Baylor
Jean Montero | Gran Canaria
Trevor Keels | Duke
Josh Minott | Memphis
Iverson Molinar | Mississippi St.
JD Davison | Alabama
Lester Quinones | Memphis
Jabari Walker | Colorado
Michael Foster | G-League
Jordan Hall | St. Joseph's
Gabriele Procida | Cantu
Dominick Barlow | Overtime Elite
Bryson Williams | Texas Tech
Donovan Williams | UNLV
Julian Champagnie | St. Johns
Orlando Robinson | Fresno St.
Alondes Williams | Wake Forest
Scotty Pippen | Vanderbilt
Jared Rhoden | Seton Hall
Aminu Mohammed | Georgetown
David Roddy | Colorado St.
Dereon Seabron | NC State
Johnny Juzang | UCLA
Moussa Diabate | Michigan
Kenneth Lofton | Louisiana Tech
Hugo Besson | New Zealand Breakers
Trevion Williams | Purdue
Khalifa Diop | Gran Canaria
Matteo Spagnolo | Cremona
Karlo Matkovic | OKK Beograd
Yoan Makoundou | Cholet
Ibou Badji | Barcelona
Tevin Brown | Murray St.
Izaiah Brockington | Iowa St.
Alex Barcello | BYU
Keon Ellis | Alabama
Yannick Nzosa | Unicaja
Kellan Grady | Kentucky
JD Notae | Arkansas
Ziga Samar | Fuenlabrada
Brady Manek | North Carolina
Keve Aluma | Virginia Tech
Gabe Brown | Michigan St.
Kofi Cockburn | Illinois
Quenton Jackson | Texas A&M
Amadou Sow | UC Santa Barbara
Michael Devoe | Georgia Tech
Gui Santos | Minas
Luke Travers | Perth
Jermaine Samuels | Villanova
Tyrese Martin | UConn
Collin Gillespie | Villanova
Jeenathan Williams | Buffalo
Buddy Boeheim | Syracuse
Kai Sotto | Adelaide 36ers
Taevion Kinsey | Marshall
