# Curated big board — 2023 draft class (top 100, user-provided)
Victor Wembanyama | Metropolitans 92
Scoot Henderson | G-League
Brandon Miller | Alabama
Taylor Hendricks | Central Florida
Anthony Black | Arkansas
Amen Thompson | Overtime Elite
Gradey Dick | Kansas
Ausar Thompson | Overtime Elite
Cam Whitmore | Villanova
Jarace Walker | Houston
Kobe Bufkin | Michigan
Bilal Coulibaly | Metropolitans 92
Cason Wallace | Kentucky
Jalen Hood-Schifino | Indiana
Jordan Hawkins | UConn
Keyonte George | Baylor
Kris Murray | Iowa
Nick Smith | Arkansas
Dereck Lively | Duke
Noah Clowney | Alabama
Trayce Jackson-Davis | Indiana
Rayan Rupert | New Zealand Breakers
Brandin Podziemski | Santa Clara
Jaime Jaquez | UCLA
Julian Strawther | Gonzaga
Jett Howard | Michigan
Olivier-Maxence Prosper | Marquette
Maxwell Lewis | Pepperdine
Andre Jackson | UConn
Julian Phillips | Tennessee
GG Jackson | South Carolina
Seth Lundy | Penn State
Leonard Miller | G-League
Sidy Cissoko | G League Ignite
Brice Sensabaugh | Ohio St.
Tristan Vukcevic | Real Madrid
Ben Sheppard | Belmont
Dariq Whitehead | Duke
Colby Jones | Xavier
Marcus Sasser | Houston
Jalen Pickett | Penn State
Amari Bailey | UCLA
Jordan Walsh | Arkansas
Terquavion Smith | NC State
Isaiah Wong | Miami
Azuolas Tubelis | Arizona
James Nnaji | Barcelona
Adama Sanogo | UConn
Ricky Council | Arkansas
Jalen Wilson | Kansas
Keyontae Johnson | Kansas State
Mojave King | G-League
Adam Flagler | Baylor
Jordan Miller | Miami
Emoni Bates | Eastern Michigan
Jazian Gortman | Overtime Elite
Toumani Camara | Dayton
Kobe Brown | Missouri
Omari Moore | San Jose State
Hunter Tyson | Clemson
Malcolm Cazalon | Mega Soccerbet
Chris Livingston | Kentucky
Oscar Tshiebwe | Kentucky
Jaylen Clark | UCLA
Drew Timme | Gonzaga
Nadir Hifi | Paris
Jacob Toppin | Kentucky
Tosan Evbuomwan | Princeton
Jalen Slawson | Furman
Baylor Scheierman | Creighton
Justyn Mutts | Virginia Tech
Mike Miles | TCU
Drew Peterson | USC
Grant Sherfield | Oklahoma
Vincent Valerio | Sopron KC
Mouhamed Gueye | Washington State
Keion Brooks | Washington
Matthew Mayer | Illinois
Colin Castleton | Florida
Taevion Kinsey | Marshall
Leaky Black | North Carolina
Mario Nakic | Oostende
Gregor Glas | Dynamic
Landers Nolley | Cincinnati
Jaylen Martin | Overtime Elite
Charles Bediako | Alabama
Damion Baugh | TCU
Alex Fudge | Florida
Marcus Bagley | Arizona St.
D'Moi Hodge | Missouri
Sir'Jabari Rice | Texas
Markquis Nowell | Kansas State
Tom Digbeu | Nevezis
Nikos Rogkavopoulos | AEK BC
Kendric Davis | Memphis
Enzo Shahrvin | Pau-Lacq-Orthez
Tevian Jones | Southern Utah
Joey Hauser | Michigan St.
Antoine Davis | Detroit
Justin Powell | Washington State
