# Curated big board — 2024 draft class (top 100, user-provided)
Zaccharie Risacher | JL Bourg
Alexandre Sarr | Perth Wildcats
Reed Sheppard | Kentucky
Cody Williams | Colorado
Stephon Castle | UConn
Dalton Knecht | Tennessee
Matas Buzelis | G-League
Tidjane Salaun | Cholet
Carlton Carrington | Pittsburgh
Donovan Clingan | UConn
Ja'Kobe Walter | Baylor
Ronald Holland | G-League
Devin Carter | Providence
Terrence Shannon | Illinois
Isaiah Collier | USC
Jaylon Tyson | California
Kel'el Ware | Indiana
Tristan da Silva | Colorado
Rob Dillingham | Kentucky
Jared McCain | Duke
KyShawn George | Miami
Cam Christie | Minnesota
Nikola Topic | Crvena Zvezda
Jaylen Wells | Washington State
Zach Edey | Purdue
Pacome Dadiet | Ratiopharm Ulm
Jonathan Mogbo | San Francisco
Yves Missi | Baylor
Johnny Furphy | Kansas
DaRon Holmes | Dayton
Kyle Filipowski | Duke
Tyler Smith | G-League
Trey Alexander | Creighton
Ryan Dunn | Virginia
AJ Johnson | Illawarra Hawks
Baylor Scheierman | Creighton
Tyler Kolek | Marquette
Pelle Larsson | Arizona
Bobi Klintman | Cairns Taipans
Antonio Reeves | Kentucky
Ajay Mitchell | UC Santa Barbara
Cam Spencer | UConn
Ulrich Chomche
Dillon Jones | Weber St.
Tristen Newton | UConn
Trentyn Flowers | Adelaide 36ers
Bronny James | USC
Justin Edwards | Kentucky
Jalen Bridges | Baylor
Kevin McCullar | Kansas
Adem Bona | UCLA
Oso Ighodaro | Marquette
Nikola Djurisic | Mega MIS
Juan Nunez | Ratiopharm Ulm
Keshad Johnson | Arizona
Isaac Jones | Washington State
Blake Hinson | Pittsburgh
Nae'Qwan Tomlin | Memphis
Jamal Shead | Houston
Enrique Freeman | Akron
Melvin Ajinca | Saint Quentin
Reece Beekman | Virginia
PJ Hall | Clemson
Harrison Ingram | North Carolina
KJ Simpson | Colorado
N'Faly Dante | Oregon
Anton Watson | Gonzaga
Jaedon LeDee | San Diego St.
Ariel Hukporti | Melbourne United
David Jones | Memphis
Allen Flanigan
Boogie Ellis | USC
Branden Carlson | Utah
Kalib Boone | UNLV
Armel Traore | ADA Blois
Tristan Enaruna | Cleveland St.
Mark Armstrong | Villanova
Bryson Warren | Overtime Elite
Isaiah Crawford | Louisiana Tech
RayJ Dennis | Baylor
Yannick Kraag | Joventut
Daniel Onwenu | Corinthians
Aaron Estrada | Alabama
Jesse Edwards | West Virginia
Zyon Pullin | Florida
Keion Brooks | Washington
Quinten Post | Boston College
Jalen Lewis | Overtime Elite
Eric Gaines | UAB
Malevy Leons | Bradley
Quinn Ellis | Trento
Taran Armstrong | Cairns Taipans
Juan Fernandez | Rio Breogan
Zsombor Maronka | Neptunas
Roko Prkacin | Gran Canaria
Babacar Sane | G League Ignite
Tyler Burton | Villanova
Boo Buie | Northwestern
Lucas Ugolin | CSP Limoges
Judah Mintz | Syracuse
