# Curated big board — 2025 draft class (top 100, user-provided)
Cooper Flagg | Duke
Dylan Harper | Rutgers
VJ Edgecombe | Baylor
Ace Bailey | Rutgers
Jeremiah Fears | Oklahoma
Kon Knueppel | Duke
Tre Johnson | Texas
Nolan Traore | Saint Quentin
Asa Newell | Georgia
Noa Essengue | Ratiopharm Ulm
Thomas Sorber | Georgetown
Nique Clifford | Colorado St.
Khaman Maluach | Duke
Joan Beringer | Cedevita Olimpija
Egor Demin | BYU
Kasparas Jakucionis | Illinois
Derik Queen | Maryland
Rasheer Fleming | St. Joseph's
Collin Murray-Boyles | South Carolina
Carter Bryant | Arizona
Cedric Coward | Washington State
Walter Clayton | Florida
Drake Powell | North Carolina
Liam McNeeley | UConn
Will Riley | Illinois
Hugo Gonzalez | Real Madrid
Jase Richardson | Michigan St.
Noah Penda | Le Mans
Chaz Lanier | Tennessee
Maxime Raynaud | Stanford
Ryan Kalkbrenner | Creighton
Danny Wolf | Michigan
Hansen Yang | Qingdao Eagles
Tamar Bates | Missouri
Yanic Konan Niederhauser | Penn State
Micah Peavy | Georgetown
Bogoljub Markovic | Mega Belgrade
Johni Broome | Auburn
Tyrese Proctor | Duke
Adou Thiero | Arkansas
Javon Small | West Virginia
Eric Dixon | Villanova
Kam Jones | Marquette
Ben Saraf | Ratiopharm Ulm
Jaxson Robinson | Kentucky
Brice Williams | Nebraska
Koby Brea | Kentucky
Sion James | Duke
Lachlan Olbrich | Canterbury Rams
Mohamed Diawara | Poitiers
Amari Williams | Kentucky
Hunter Sallis | Wake Forest
Sean Pedulla | Mississippi
RJ Luis | St. Johns
Alex Toohey
Kobe Sanders | Nevada
Ryan Nembhard | Gonzaga
Mark Sears | Alabama
Jamir Watkins | Florida St.
Khalif Battle | Gonzaga
John Tonje | Wisconsin
Arthur Kaluma | Texas
Vladislav Goldin | Michigan
Caleb Love | Arizona
Rocco Zikarsky | Brisbane Bullets
Dink Pate | G-League
Chucky Hepburn | Louisville
Adama Bal | Santa Clara
Julian Reese | Maryland
Johnell Davis | Arkansas
Matthew Cleveland | Miami
Alijah Martin | Florida
Curtis Jones | Iowa St.
Ousmane Ndiaye | Baskonia
Andrew Carr | Kentucky
Grant Nelson | Alabama
Will Richard | Florida
Payton Sandfort | Nebraska
Kadin Shedrick | Texas
Caleb Grill | Missouri
LJ Cryer | Houston
Ace Baldwin | Penn State
Kobe Johnson | UCLA
Max Shulga | VCU
Dawson Garcia | Minnesota
Jaden Akins | Michigan St.
Jalon Moore | Oklahoma
RJ Davis | North Carolina
Izan Almansa | Perth Wildcats
Igor Milicic | Ulm
Wade Taylor | Texas A&M
Samson Johnson | UConn
Lamont Butler | San Diego St.
Chris Youngblood | Alabama
Coleman Hawkins | Kansas State
Tyrese Hunter | Memphis
Miles Kelly | Auburn
Kadary Richmond | St. Johns
Chase Hunter | Clemson
Isaac Nogues | Rip City Remix
