PLAYER	POS	Lane Agility Time (seconds)	Shuttle Run (seconds)	Three Quarter Sprint (seconds)	Standing Vertical Leap (inches)	Max Vertical Leap (inches)	Max Bench Press (repetitions)
Precious Achiuwa	PF	-	-	-	-	-	-
Ty-Shon Alexander	SG	11.33	2.47	3.26	28.0	33.0	-
Udoka Azubuike	C	11.82	3.61	3.23	37.0	41.0	-
Tyler Bey	PF	11.35	2.75	3.17	37.0	43.5	-
Yoeli Childs	PF	10.87	2.42	3.22	34.0	38.5	-
Mamadi Diakite	PF	11.95	2.71	3.16	28.0	37.0	-
Devon Dotson	PG	10.44	2.22	3.02	31.5	40.5	-
Paul Eboua	SF-PF	10.79	2.44	3.19	33.0	35.5	-
CJ Elleby	SG-SF	11.25	2.63	3.25	30.5	36.5	-
Trent Forrest	PG	11.04	2.50	3.18	28.0	34.5	-
Josh Green	SG-SF	10.64	2.28	3.12	30.5	39.5	-
Ashton Hagans	PG	10.82	2.50	3.13	29.5	36.5	-
Joshua Hall	SF	12.16	2.62	3.38	31.5	37.5	-
Jalen Harris	SG	10.59	2.49	3.11	37.5	42.5	-
Markus Howard	PG	11.21	3.17	3.11	30.5	35.5	-
Elijah Hughes	SF-SG	-	-	-	-	-	-
Isaiah Joe	SG	-	-	-	-	-	-
Mason Jones	SG	10.60	2.49	3.33	24.0	31.0	-
Nathan Knight	PF-C	11.56	2.96	3.31	23.0	31.5	-
Theo Maledon	PG	-	-	-	-	-	-
Karim Mane	PG-SG	11.52	2.64	3.04	31.0	36.0	-
Naji Marshall	SF	11.77	2.90	3.37	28.5	35.0	-
Kenyon Martin Jr.	SF-PF	11.93	2.58	3.16	31.5	38.5	-
Skylar Mays	SG	10.65	2.40	3.30	29.0	37.5	-
Zeke Nnaji	PF-C	10.94	2.72	3.20	33.0	38.0	-
Jordan Nwora	SF-PF	11.29	2.66	3.43	29.0	35.0	-
Reggie Perry	PF-C	11.26	2.57	3.25	30.0	33.5	-
Myles Powell	PG-SG	-	-	-	-	-	-
Immanuel Quickley	SG	11.21	2.46	3.17	29.5	35.5	-
Jahmi'us Ramsey	SG	-	-	-	-	-	-
Paul Reed Jr.	PF	12.29	2.67	3.45	26.5	37.5	-
Nick Richards	C	11.42	2.92	3.25	30.0	34.0	-
Grant Riller	PG-SG	11.17	2.45	3.07	32.5	39.5	-
Jayden Scrubb	SG-SF	-	-	-	-	-	-
Jalen Smith	PF-C	-	-	-	-	-	-
Cassius Stanley	SG	11.40	2.43	3.09	34.5	44.0	-
Lamar Stevens	SF-PF	10.35	2.54	3.20	35.0	41.0	-
Isaiah Stewart	C	-	-	-	-	-	-
Tyrell Terry	PG	10.78	2.59	3.28	30.0	34.0	-
Killian Tillie	PF	11.60	2.62	3.40	27.5	32.0	-
Xavier Tillman Sr.	PF-C	11.80	3.01	3.49	26.0	32.5	-
Kaleb Wesson	C	11.73	2.64	3.60	21.5	27.0	-
Kahlil Whitney	SF	11.17	2.61	3.28	29.0	39.0	-
Cassius Winston	PG	11.15	2.74	3.61	24.0	28.0	-
Robert Woodard II	SF	11.10	2.49	3.18	32.0	38.0	-
