PLAYER	POS	BODY FAT %	HAND LENGTH (inches)	HAND WIDTH (inches)	HEIGHT W/O SHOES	HEIGHT W/ SHOES	STANDING REACH	WEIGHT (LBS)	WINGSPAN
Aday Mara	C	-%	9.00	9.50	7' 3.00''		9' 9.00''	259.8	7' 6.00''
Luigi Suigo	C	-%	9.25	10.50	7' 2.75''		9' 6.00''	289.0	7' 5.50''
Ugonna Onyenso	C	-%	9.50	10.00	6' 11.00''		9' 5.00''	236.8	7' 4.75''
Felix Okpara	C	-%	8.75	9.00	6' 10.00''		9' 4.00''	237.4	7' 2.00''
Rueben Chinyelu	C	-%	10.00	10.25	6' 9.25''		9' 3.50''	259.4	7' 7.50''
Malachi Moreno	C	-%	9.25	9.25	6' 11.25''		9' 3.50''	242.8	7' 1.50''
Baba Miller	PF	-%	9.00	10.00	6' 10.50''		9' 3.00''	208.2	7' 1.75''
Henri Veesaar	C	-%	8.75	9.50	6' 11.25''		9' 3.00''	227.2	7' 2.00''
Tarris Reed Jr.	C	-%	9.25	10.00	6' 9.75''		9' 2.00''	263.6	7' 4.25''
Nathaniel Ament	PF	-%	8.50	9.50	6' 9.50''		9' 1.50''	210.8	6' 11.50''
Rafael Castro	C	-%	9.00	9.00	6' 9.00''		9' 1.50''	224.4	7' 1.25''
Trevon Brazile	PF	-%	9.00	10.25	6' 9.50''		9' 1.00''	225.6	7' 3.75''
Jayden Quaintance	C	-%	9.50	11.00	6' 9.00''		9' 1.00''	253.4	7' 5.25''
Christopher Cenac Jr.	PF	-%	9.25	9.50	6' 10.25''		9' 0.50''	239.6	7' 5.00''
Yaxel Lendeborg	PF	-%	9.00	10.00	6' 8.75''		9' 0.50''	241.4	7' 3.25''
Cameron Boozer	PF	-%	8.75	9.75	6' 8.25''		9' 0.00''	252.8	7' 1.50''
Izaiyah Nelson	C	-%	9.25	9.50	6' 8.25''		9' 0.00''	219.4	7' 2.50''
Hannes Steinbach	C	-%	9.00	10.00	6' 10.25''		9' 0.00''	248.0	7' 2.25''
Caleb Wilson	PF	-%	9.00	9.75	6' 9.25''		9' 0.00''	210.8	7' 0.25''
Tyler Bilodeau	PF	-%	9.00	9.50	6' 7.25''		8' 11.00''	228.2	7' 0.75''
Maliq Brown	C	-%	8.75	9.00	6' 8.00''		8' 11.00''	216.6	7' 0.75''
Jacob Cofie	PF	-%	8.50	9.50	6' 8.50''		8' 11.00''	232.0	7' 0.00''
Zuby Ejiofor	C	-%	9.25	9.75	6' 7.50''		8' 11.00''	245.2	7' 2.00''
