rank	name	position	college
1	Chet Holmgren	C	Gonzaga
2	Paolo Banchero	PF	Duke
3	Shaedon Sharpe	SG	Kentucky
4	Jaden Hardy	CG	Pro
5	Emoni Bates	SF	Memphis
6	Jalen Duren	C	Memphis
7	Jabari Smith	PF	Auburn
8	Patrick Baldwin Jr.	SF	Milwaukee
9	Kennedy Chandler	PG	Tennessee
10	Scoot Henderson	PG	Pro
11	Caleb Houstan	PF	Michigan
12	Peyton Watson	SF	UCLA
13	JD Davison	PG	Alabama
14	Kendall Brown	SF	Baylor
15	TyTy Washington	PG	Kentucky
16	Daimion Collins	PF	Kentucky
17	Moussa Diabate	PF	Michigan
18	AJ Griffin	SF	Duke
19	Harrison Ingram	SF	Stanford
20	Max Christie	SG	Michigan State
21	Hunter Sallis	CG	Gonzaga
22	Michael Foster	PF	Pro
23	Trevor Keels	SG	Duke
24	Aminu Mohammed	SG	Georgetown
25	Matthew Cleveland	SF	Florida State
26	Brandon Huntley-Hatfield	PF	Tennessee
27	Efton Reid	C	LSU
28	Nate Bittle	C	Oregon
29	Bryce McGowens	SG	Nebraska
30	Tamar Bates	SG	Indiana
31	Enoch Boakye	C	Arizona State
32	Benny Williams	SF	Syracuse
33	Nolan Hickman	PG	Gonzaga
34	Manny Obaseki	SG	Texas A&M
35	Charles Bediako	C	Alabama
36	Jaylon Tyson	SF	Texas
37	Tyrese Hunter	PG	Iowa State
38	Malaki Branham	SG	Ohio State
39	Bryce Hopkins	PF	Kentucky
40	Jonas Aidoo	C	Tennessee
41	Langston Love	SG	Baylor
42	Kowacie Reeves	SG	Florida
43	Jalen Warley	CG	Florida State
44	Trey Kaufman-Renn	PF	Purdue
45	Josh Minott	SF	Memphis
46	Kobe Bufkin	CG	Michigan
47	Frankie Collins	PG	Michigan
48	DaRon Holmes	PF	Dayton
49	Arthur Kaluma	PF	Creighton
50	Zach Clemence	PF	Kansas
