rank	name	position	college
1	Nick Smith	CG	Arkansas
2	Dariq Whitehead	SF	Duke
3	Dereck Lively II	C	Duke
4	Kyle Filipowski	C	Duke
5	Dillon Mitchell	SF	Texas
6	GG Jackson	PF	South Carolina
7	Kel'el Ware	C	Oregon
8	Keyonte George	SG	Baylor
9	Amari Bailey	CG	UCLA
10	Cason Wallace	CG	Kentucky
11	Jarace Walker	PF	Houston
12	Chris Livingston	SF	Kentucky
13	Cam Whitmore	SF	Villanova
14	Brandon Miller	SF	Alabama
15	Julian Phillips	SF	Tennessee
16	Arterio Morris	PG	Texas
17	Anthony Black	PG	Arkansas
18	Adem Bona	C	UCLA
19	Jordan Walsh	SF	Arkansas
20	Mark Mitchell	PF	Duke
21	JJ Starling	CG	Notre Dame
22	Gradey Dick	SF	Kansas
23	Jalen Hood-Schifino	CG	Indiana
24	Yohan Traore	C	Auburn
25	Vincent Iwuchukwu	C	USC
26	Jaden Bradley	PG	Alabama
27	Tyrese Proctor	PG	Duke
28	Leonard Miller	SF	Pro
29	Kylan Boswell	PG	Arizona
30	Malik Reneau	PF	Indiana
31	Ernest Udeh Jr.	C	Kansas
32	MJ Rice	SF	Kansas
33	Skyy Clark	PG	Illinois
34	Tyrell Ward	SF	LSU
35	Tarris Reed Jr.	C	Michigan
36	Ugonna Onyenso	C	Kentucky
37	Collin Chandler	CG	Kentucky
38	Seth Trimble	PG	North Carolina
39	Chance Westry	SF	Auburn
40	Terrance Arceneaux	SF	Houston
41	Freddie Dilione	CG	Tennessee
42	Dior Johnson	PG	Pittsburgh
43	Jett Howard	SF	Michigan
44	Dylan Andrews	PG	UCLA
45	Isaiah Miranda	C	NC State
46	London Johnson	CG	Pro
47	Baba Miller	C	Florida State
48	Elijah Fisher	SF	Texas Tech
49	Roddy Gayle Jr.	SG	Ohio State
50	Tre White	SF	USC
